epoch,J_train,J_test,accuracy
0,4.45967,6.21702,0.1382
1,2.8641,5.40172,0.1458
2,2.61461,5.06896,0.1639
3,2.50127,4.94645,0.154
4,2.43581,4.86444,0.1577
5,2.3918,4.75832,0.1661
6,2.35805,4.65702,0.1757
7,2.32334,4.63406,0.1768
8,2.3038,4.63406,0.1791
9,2.27766,4.5659,0.1856
10,2.25692,4.46594,0.1953
11,2.24868,4.47679,0.1957
12,2.23679,4.44025,0.197
13,2.21267,4.40168,0.2061
14,2.19973,4.37813,0.2196
