epoch,J_train,J_test,accuracy
0,5.27567,3.65088,0.1211
1,3.27989,3.04781,0.1303
2,2.90403,2.79763,0.1353
3,2.73217,2.66676,0.1385
4,2.63366,2.5897,0.1386
5,2.5644,2.53972,0.1476
6,2.51525,2.50636,0.1458
7,2.47458,2.45603,0.1488
8,2.44172,2.44188,0.1474
9,2.41865,2.41393,0.149
10,2.38973,2.37987,0.1615
11,2.37602,2.35486,0.1714
12,2.35384,2.36509,0.1654
13,2.34448,2.31686,0.1741
14,2.32642,2.33255,0.1674
