epoch,J_train,J_test,accuracy
0,4.51131,2.76169,0.3177
1,3.01028,2.38529,0.3441
2,2.57599,2.21885,0.3611
3,2.35171,2.11046,0.3722
4,2.24645,2.05629,0.3828
5,2.16774,1.99817,0.3949
6,2.10617,1.97372,0.3959
7,2.06339,1.93796,0.3981
8,2.02752,1.93821,0.4063
9,1.99789,1.91515,0.4109
10,1.97353,1.90604,0.4152
11,1.95175,1.897,0.4137
12,1.93096,1.87469,0.4191
13,1.91367,1.85371,0.4197
14,1.89871,1.85001,0.4266
