epoch,J_train,J_test,accuracy
0,2.6597,46.0301,0.1653
1,2.24091,44.0389,0.195
2,2.15745,42.4294,0.226
3,2.09123,41.4526,0.2487
4,2.04491,40.4939,0.2701
5,2.01132,40.0691,0.2814
6,1.97641,39.2232,0.2919
7,1.95296,38.8607,0.3029
8,1.92193,38.4433,0.3095
9,1.8976,37.7189,0.3225
10,1.88157,37.5876,0.3323
11,1.85809,37.0993,0.3428
12,1.84558,36.868,0.3354
13,1.82598,36.7473,0.3474
14,1.80823,36.4993,0.3486
