epoch,J_train,J_test,accuracy
0,3.76424,10.9687,0.1532
1,2.58297,9.94138,0.1656
2,2.40395,9.37168,0.1824
3,2.32192,9.1614,0.1907
4,2.2683,8.91066,0.2068
5,2.22344,8.7594,0.2199
6,2.18819,8.70594,0.2237
7,2.16168,8.58399,0.2323
8,2.13558,8.53409,0.2336
9,2.11562,8.39874,0.2476
10,2.09785,8.32283,0.2557
11,2.08023,8.28258,0.2577
12,2.06564,8.20773,0.2686
13,2.04859,8.11414,0.2731
14,2.03573,8.13543,0.2737
