epoch,J_train,J_test,accuracy
0,3.57095,2.26394,0.1899
1,2.56581,2.2276,0.1782
2,2.43416,2.21035,0.1858
3,2.37373,2.19383,0.1934
4,2.32792,2.17842,0.2036
5,2.29769,2.16518,0.2029
6,2.27904,2.1449,0.2166
7,2.26444,2.12609,0.2272
8,2.24514,2.10698,0.2341
9,2.22932,2.08596,0.2431
10,2.21556,2.07257,0.2517
11,2.20414,2.05751,0.2645
12,2.1816,2.04339,0.2726
13,2.17479,2.02856,0.2778
14,2.16574,2.01773,0.2815
15,2.15001,2.00965,0.288
16,2.14335,1.99784,0.2892
17,2.13194,1.98578,0.2955
18,2.12042,1.96983,0.3072
19,2.11235,1.96247,0.3059
20,2.09795,1.95206,0.3136
21,2.0925,1.94732,0.3179
22,2.08043,1.93754,0.3208
23,2.07214,1.92569,0.3234
24,2.06519,1.92671,0.3265
25,2.05622,1.91892,0.3309
26,2.05847,1.90859,0.337
27,2.0415,1.89852,0.3426
28,2.034,1.89686,0.3418
29,2.0333,1.89022,0.3467
